2026-07-07 14:17:20,301 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:20,301 | WARNING | aiogram.dispatcher | Sleep for 4.836602 seconds and try again... (tryings = 10, bot id = 8838659979)
2026-07-07 14:17:25,241 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:25,241 | WARNING | aiogram.dispatcher | Sleep for 5.178177 seconds and try again... (tryings = 11, bot id = 8838659979)
2026-07-07 14:17:30,537 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:30,537 | WARNING | aiogram.dispatcher | Sleep for 4.957074 seconds and try again... (tryings = 12, bot id = 8838659979)
2026-07-07 14:17:35,622 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:35,623 | WARNING | aiogram.dispatcher | Sleep for 5.042967 seconds and try again... (tryings = 13, bot id = 8838659979)
2026-07-07 14:17:40,781 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:40,907 | WARNING | aiogram.dispatcher | Sleep for 5.077804 seconds and try again... (tryings = 14, bot id = 8838659979)
2026-07-07 14:17:46,218 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:46,218 | WARNING | aiogram.dispatcher | Sleep for 5.168336 seconds and try again... (tryings = 15, bot id = 8838659979)
2026-07-07 14:17:51,498 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:51,499 | WARNING | aiogram.dispatcher | Sleep for 4.891344 seconds and try again... (tryings = 16, bot id = 8838659979)
2026-07-07 14:17:56,517 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:17:56,519 | WARNING | aiogram.dispatcher | Sleep for 4.984548 seconds and try again... (tryings = 17, bot id = 8838659979)
2026-07-07 14:18:01,621 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:18:01,621 | WARNING | aiogram.dispatcher | Sleep for 4.966970 seconds and try again... (tryings = 18, bot id = 8838659979)
